#Task Selector: 5
#PID Parameters: kp: 0.07, kd: 0.03, ki: 0.03
#n_pos: 20
#n_vel: 5
t x_ref y_ref vx_ref vy_ref x_raw y_raw x y vx_raw vy_raw vx vy
1652719436394538 0.00 0.00 0.00 0.00 1.01 6.70 0.05 0.34 3148.98 20939.90 629.80 4187.98
1652719436410391 0.00 0.00 0.00 0.00 -0.19 6.70 0.04 0.67 -0.54 19.09 629.69 4191.80
1652719436426788 0.00 0.00 0.00 0.00 -1.39 5.80 -0.03 0.96 -4.43 18.52 628.80 4195.50
1652719436443131 0.00 0.00 0.00 0.00 -0.19 9.10 -0.04 1.41 -0.59 28.15 628.68 4201.13
1652719436459723 0.00 0.00 0.00 0.00 -0.19 9.10 -0.05 1.87 -0.59 28.16 628.57 4206.76
1652719436475611 0.00 0.00 0.00 0.00 -0.19 7.90 -0.06 2.26 -0.58 24.07 -1.35 23.60
1652719436492168 0.00 0.00 0.00 0.00 -0.19 9.10 -0.07 2.72 -0.61 28.96 -1.36 25.57
1652719436508127 0.00 0.00 0.00 0.00 -0.19 10.29 -0.08 3.23 -0.58 31.42 -0.59 28.15
1652719436524623 0.00 0.00 0.00 0.00 1.01 10.29 -0.03 3.75 3.19 32.60 0.17 29.04
1652719436541119 0.00 0.00 0.00 0.00 1.01 10.29 0.02 4.26 3.09 31.56 0.90 29.72
1652719436556926 0.00 0.00 0.00 0.00 -0.19 9.10 0.02 4.72 -0.58 27.88 0.90 30.48
1652719436573769 0.00 0.00 0.00 0.00 1.01 7.90 0.07 5.11 3.23 25.30 1.67 29.75
1652719436589830 0.00 0.00 0.00 0.00 1.01 9.09 0.12 5.57 3.04 27.44 2.39 28.96
1652719436605686 0.00 0.00 0.00 0.00 1.01 9.09 0.17 6.02 3.19 28.77 2.39 28.19
1652719436622115 0.00 0.00 0.00 0.00 1.01 7.90 0.22 6.42 3.22 25.24 2.42 26.93
1652719436638628 0.00 0.00 0.00 0.00 -0.19 7.90 0.21 6.81 -0.58 24.32 2.42 26.22
1652719436654529 0.00 0.00 0.00 0.00 1.01 7.90 0.26 7.21 3.10 24.32 2.39 26.02
1652719436671186 0.00 0.00 0.00 0.00 1.01 7.90 0.31 7.60 3.21 25.15 2.43 25.56
1652719436687170 0.00 0.00 0.00 0.00 1.01 5.80 0.36 7.89 3.06 17.64 2.40 23.33
1652719436703413 0.00 0.00 0.00 0.00 1.91 4.61 0.45 8.12 6.05 14.62 2.97 21.21
1652719436719598 0.00 0.00 0.00 0.00 1.91 3.41 0.50 7.96 2.81 -10.29 3.64 14.28
1652719436735776 0.00 0.00 0.00 0.00 1.01 2.21 0.56 7.73 3.77 -14.16 3.78 6.59
1652719436752428 0.00 0.00 0.00 0.00 -0.19 2.21 0.62 7.55 3.77 -11.30 3.89 -0.70
1652719436768439 0.00 0.00 0.00 0.00 -0.19 1.31 0.62 7.16 -0.01 -23.65 3.28 -8.96
1652719436784374 0.00 0.00 0.00 0.00 1.01 0.11 0.68 6.72 3.78 -28.40 2.82 -17.56
1652719436801237 0.00 0.00 0.00 0.00 1.90 -1.09 0.78 6.27 6.93 -29.73 3.65 -21.45
1652719436817319 0.00 0.00 0.00 0.00 -0.20 -2.29 0.78 5.70 -0.02 -34.19 2.89 -25.45
1652719436833157 0.00 0.00 0.00 0.00 3.10 -4.39 0.95 4.96 10.42 -46.47 4.22 -32.49
1652719436849236 0.00 0.00 0.00 0.00 1.90 -5.60 0.99 4.17 2.86 -50.87 4.79 -37.93
1652719436865756 0.00 0.00 0.00 0.00 -0.20 -7.71 0.93 3.27 -3.81 -56.67 3.28 -43.59
1652719436882650 0.00 0.00 0.00 0.00 0.99 -11.04 0.99 2.26 3.62 -61.63 2.61 -49.97
1652719436898788 0.00 0.00 0.00 0.00 3.10 -11.04 1.09 1.31 6.27 -56.79 3.87 -54.49
1652719436914561 0.00 0.00 0.00 0.00 3.10 -12.25 1.20 0.25 6.61 -67.51 3.11 -58.69
1652719436931513 0.00 0.00 0.00 0.00 3.10 -13.47 1.30 -0.88 6.76 -73.05 3.89 -63.13
1652719436947560 0.00 0.00 0.00 0.00 4.30 -13.47 1.47 -1.95 9.82 -63.73 6.62 -64.54
1652719436963461 0.00 0.00 0.00 0.00 3.10 -15.61 1.63 -3.13 10.45 -74.76 7.98 -67.17
1652719436980081 0.00 0.00 0.00 0.00 3.09 -16.83 1.74 -4.36 6.70 -79.42 8.07 -71.69
1652719436996554 0.00 0.00 0.00 0.00 4.30 -18.06 1.90 -5.66 10.11 -79.66 8.77 -74.12
1652719437011769 0.00 0.00 0.00 0.00 5.51 -20.22 2.13 -6.96 13.91 -80.38 10.20 -75.59
1652719437027685 0.00 0.00 0.00 0.00 4.30 -22.70 2.25 -8.33 8.06 -91.73 9.85 -81.19
1652719437044205 0.00 0.00 0.00 0.00 4.30 -22.70 2.37 -9.63 7.69 -83.68 9.29 -82.97
1652719437059905 0.00 0.00 0.00 0.00 5.52 -24.88 2.59 -10.99 13.92 -83.62 10.74 -83.81
1652719437076327 0.00 0.00 0.00 0.00 6.43 -26.13 2.92 -12.40 21.48 -91.94 13.01 -86.27
1652719437092340 0.00 0.00 0.00 0.00 7.65 -27.39 3.32 -13.84 24.35 -89.08 15.10 -88.01
1652719437108786 0.00 0.00 0.00 0.00 7.66 -28.65 3.65 -15.28 21.03 -90.94 17.69 -87.85
1652719437125030 0.00 0.00 0.00 0.00 8.89 -30.87 4.00 -16.77 21.47 -91.59 20.45 -89.43
1652719437141390 0.00 0.00 0.00 0.00 8.90 -33.42 4.45 -18.32 28.56 -97.75 23.38 -92.26
1652719437157449 0.00 0.00 0.00 0.00 8.90 -33.42 4.74 -19.77 17.96 -89.93 22.67 -91.86
1652719437173739 0.00 0.00 0.00 0.00 8.91 -35.67 5.09 -21.28 22.17 -95.11 22.24 -93.06
1652719437190304 0.00 0.00 0.00 0.00 8.91 -35.67 5.55 -22.68 28.56 -87.61 23.75 -92.40
1652719437206612 0.00 0.00 0.00 0.00 10.15 -36.97 6.01 -23.97 28.21 -79.87 25.09 -90.05
1652719437222726 0.00 0.00 0.00 0.00 11.07 -36.98 6.40 -25.27 24.80 -80.66 24.34 -86.64
1652719437239753 0.00 0.00 0.00 0.00 10.16 -37.94 6.76 -26.55 22.39 -81.48 25.23 -84.95
1652719437255968 0.00 0.00 0.00 0.00 10.16 -37.94 7.11 -27.78 21.20 -73.46 25.03 -80.62
1652719437271896 0.00 0.00 0.00 0.00 11.09 -39.25 7.45 -29.06 21.70 -82.37 23.66 -79.57
1652719437287885 0.00 0.00 0.00 0.00 11.09 -39.25 7.85 -30.25 25.57 -75.59 23.13 -78.71
1652719437304152 0.00 0.00 0.00 0.00 12.33 -39.26 8.31 -31.37 29.38 -71.37 24.05 -76.85
1652719437320267 0.00 0.00 0.00 0.00 11.09 -39.25 8.65 -32.43 21.36 -66.66 23.84 -73.89
1652719437336773 0.00 0.00 0.00 0.00 11.09 -39.25 8.93 -33.38 17.62 -60.10 23.13 -71.22
1652719437352832 0.00 0.00 0.00 0.00 12.34 -40.57 9.33 -34.27 24.69 -54.89 23.72 -65.72
1652719437369414 0.00 0.00 0.00 0.00 11.09 -39.25 9.67 -35.10 21.63 -52.73 22.94 -61.15
1652719437385360 0.00 0.00 0.00 0.00 13.56 -39.27 10.07 -35.82 24.69 -44.18 22.00 -55.71
1652719437402025 0.00 0.00 0.00 0.00 13.56 -39.27 10.43 -36.48 22.91 -42.22 22.31 -50.82
1652719437418053 0.00 0.00 0.00 0.00 12.31 -37.96 10.66 -37.00 14.19 -32.17 21.62 -45.24
1652719437434138 0.00 0.00 0.00 0.00 13.56 -39.27 10.96 -37.54 18.89 -33.98 20.46 -41.06
1652719437450645 0.00 0.00 0.00 0.00 11.08 -37.95 11.07 -37.89 6.95 -22.41 17.53 -34.99
1652719437466415 0.00 0.00 0.00 0.00 12.31 -37.96 11.24 -38.12 10.56 -14.03 14.70 -28.96
1652719437482905 0.00 0.00 0.00 0.00 13.54 -37.00 11.47 -38.30 14.90 -11.49 13.10 -22.82
1652719437498838 0.00 0.00 0.00 0.00 12.29 -35.69 11.64 -38.30 10.38 -0.08 12.34 -16.40
1652719437515094 0.00 0.00 0.00 0.00 13.52 -35.71 11.87 -38.30 14.78 -0.12 11.51 -9.63
1652719437531987 0.00 0.00 0.00 0.00 12.28 -34.41 11.98 -38.17 6.63 7.96 11.45 -3.55
1652719437547703 0.00 0.00 0.00 0.00 13.51 -34.42 12.10 -38.04 7.31 7.66 10.80 0.79
1652719437564370 0.00 0.00 0.00 0.00 13.50 -33.46 12.27 -37.82 10.84 14.52 9.99 5.99
1652719437580341 0.00 0.00 0.00 0.00 11.04 -32.16 12.31 -37.53 2.69 17.69 8.45 9.54
1652719437596190 0.00 0.00 0.00 0.00 13.48 -30.91 12.43 -37.11 7.63 26.67 7.02 14.90
1652719437612827 0.00 0.00 0.00 0.00 13.48 -30.91 12.55 -36.70 7.61 26.61 7.22 18.63
1652719437629191 0.00 0.00 0.00 0.00 12.23 -28.68 12.54 -36.17 -0.28 32.16 5.70 23.53
1652719437645250 0.00 0.00 0.00 0.00 11.00 -27.41 12.54 -35.57 -0.27 36.66 3.48 27.96
1652719437661329 0.00 0.00 0.00 0.00 14.35 -26.18 12.70 -34.92 10.38 41.64 5.01 32.75
1652719437678025 0.00 0.00 0.00 0.00 13.42 -23.98 12.76 -34.09 3.40 52.36 4.17 37.89
1652719437693993 0.00 0.00 0.00 0.00 14.32 -22.74 12.92 -33.27 9.81 50.16 4.61 42.60
