#Task Selector: 5
#PID Parameters: kp: 0.07, kd: 0.03, ki: 0.01
#n_pos: 20
#n_vel: 5
t x_ref y_ref vx_ref vy_ref x_raw y_raw x y vx_raw vy_raw vx vy
1652721138576064 0.00 0.00 0.00 0.00 138.73 -6.26 6.94 -0.31 433529.98 -19573.55 86706.00 -3914.71
1652721138592131 0.00 0.00 0.00 0.00 138.73 -6.26 13.87 -0.63 401.05 -18.11 86786.20 -3918.33
1652721138607751 0.00 0.00 0.00 0.00 175.31 130.52 22.64 5.90 554.02 412.46 86897.01 -3835.84
1652721138624420 0.00 0.00 0.00 0.00 175.31 130.52 31.40 12.43 567.95 422.83 87010.60 -3751.27
1652721138641359 0.00 0.00 0.00 0.00 7.59 0.11 31.78 12.43 23.04 0.34 87015.21 -3751.20
1652721138657735 0.00 0.00 0.00 0.00 8.79 -1.09 32.22 12.38 26.23 -3.25 314.46 162.86
1652721138673352 0.00 0.00 0.00 0.00 9.99 -1.09 32.72 12.32 30.84 -3.37 240.42 165.80
1652721138689804 0.00 0.00 0.00 0.00 10.90 -2.29 33.27 12.21 35.28 -7.43 136.67 81.83
1652721138706135 0.00 0.00 0.00 0.00 9.99 -2.29 33.77 12.09 30.71 -7.04 29.22 -4.15
1652721138722575 0.00 0.00 0.00 0.00 8.80 -3.19 34.21 11.93 27.30 -9.90 30.07 -6.20
1652721138739133 0.00 0.00 0.00 0.00 12.11 -5.61 34.81 11.65 37.51 -17.38 32.33 -9.02
1652721138754925 0.00 0.00 0.00 0.00 10.01 -7.72 35.31 11.27 30.80 -23.75 32.32 -13.10
1652721138771538 0.00 0.00 0.00 0.00 8.81 -10.13 35.75 10.76 28.50 -32.79 30.96 -18.17
1652721138787599 0.00 0.00 0.00 0.00 8.81 -11.04 36.19 10.21 26.87 -33.67 30.19 -23.50
1652721138804315 0.00 0.00 0.00 0.00 8.82 -13.48 36.64 9.53 27.84 -42.55 30.30 -30.03
1652721138820152 0.00 0.00 0.00 0.00 8.82 -14.70 37.08 8.80 26.67 -44.44 28.14 -35.44
1652721138836318 0.00 0.00 0.00 0.00 10.04 -16.85 37.58 7.96 32.36 -54.31 28.45 -41.55
1652721138852583 0.00 0.00 0.00 0.00 7.63 -19.30 37.96 6.99 23.90 -60.48 27.53 -47.09
1652721138869063 0.00 0.00 0.00 0.00 8.84 -20.23 38.40 5.98 27.69 -63.35 27.69 -53.03
1652721138885015 0.00 0.00 0.00 0.00 6.42 -22.70 38.72 4.85 19.85 -70.13 26.09 -58.54
1652721138901137 0.00 0.00 0.00 0.00 8.86 -23.95 32.23 3.96 -415.04 -56.53 -62.25 -60.96
1652721138918137 0.00 0.00 0.00 0.00 6.43 -24.88 25.61 3.03 -417.83 -58.80 -152.29 -61.86
1652721138934300 0.00 0.00 0.00 0.00 8.87 -27.40 17.29 -4.87 -496.82 -471.36 -256.43 -144.03
1652721138950185 0.00 0.00 0.00 0.00 7.66 -29.60 8.91 -12.87 -529.58 -505.78 -367.88 -232.52
1652721138966640 0.00 0.00 0.00 0.00 7.67 -32.14 8.91 -14.48 0.24 -103.39 -371.81 -239.17
1652721138983338 0.00 0.00 0.00 0.00 8.90 -33.42 8.92 -16.10 0.33 -100.00 -288.73 -247.86
1652721138999153 0.00 0.00 0.00 0.00 7.67 -33.42 8.80 -17.72 -7.07 -98.55 -206.58 -255.81
1652721139014146 0.00 0.00 0.00 0.00 7.67 -33.42 8.64 -19.27 -10.38 -100.32 -109.29 -181.61
1652721139030362 0.00 0.00 0.00 0.00 13.51 -34.42 8.82 -20.88 11.94 -109.11 -0.99 -102.27
1652721139046746 0.00 0.00 0.00 0.00 13.52 -35.71 9.05 -22.51 14.87 -102.26 1.94 -102.05
1652721139062786 0.00 0.00 0.00 0.00 14.46 -37.01 9.17 -24.08 7.32 -97.49 3.34 -101.54
1652721139079340 0.00 0.00 0.00 0.00 16.95 -38.02 9.52 -25.59 22.07 -96.31 9.16 -101.10
1652721139095206 0.00 0.00 0.00 0.00 16.97 -39.32 9.93 -27.05 25.15 -89.94 16.27 -99.02
1652721139111690 0.00 0.00 0.00 0.00 19.14 -39.36 10.44 -28.47 33.05 -90.56 20.49 -95.31
1652721139128463 0.00 0.00 0.00 0.00 19.17 -40.67 10.96 -29.82 31.95 -83.95 23.91 -91.65
1652721139144304 0.00 0.00 0.00 0.00 20.44 -42.00 11.54 -31.19 35.06 -82.41 29.45 -88.63
1652721139160637 0.00 0.00 0.00 0.00 22.94 -42.06 12.19 -32.45 41.45 -81.00 33.33 -85.57
1652721139176843 0.00 0.00 0.00 0.00 22.94 -42.06 12.95 -33.59 47.84 -71.11 37.87 -81.81
1652721139193305 0.00 0.00 0.00 0.00 23.91 -43.07 13.71 -34.73 47.15 -71.50 40.69 -78.00
