#Task Selector: 5
#PID Parameters: kp: 0.02, kd: 0.04, ki: 0.03
#n_pos: 20
#n_vel: 5
t x_ref y_ref vx_ref vy_ref x_raw y_raw x y vx_raw vy_raw vx vy
1652726737149256 0.00 0.00 0.00 0.00 -1.39 3.41 -0.07 0.17 -4340.14 10648.24 -868.03 2129.65
1652726737165068 0.00 0.00 0.00 0.00 1.01 4.61 -0.02 0.40 2.90 13.25 -867.45 2132.30
1652726737181357 0.00 0.00 0.00 0.00 -1.39 4.61 -0.09 0.63 -4.45 14.75 -868.34 2135.25
1652726737197591 0.00 0.00 0.00 0.00 -0.19 3.41 -0.10 0.80 -0.59 10.59 -868.46 2137.37
1652726737213948 0.00 0.00 0.00 0.00 3.10 3.41 0.06 0.97 9.67 10.62 -866.52 2139.49
1652726737230497 0.00 0.00 0.00 0.00 1.90 -3.19 0.15 0.81 5.88 -9.86 2.68 7.87
1652726737246143 0.00 0.00 0.00 0.00 1.91 4.61 0.25 1.04 5.82 14.08 3.27 8.04
1652726737262611 0.00 0.00 0.00 0.00 1.90 -5.60 0.34 0.76 6.15 -18.10 5.38 1.47
1652726737278901 0.00 0.00 0.00 0.00 1.90 2.21 0.44 0.87 5.86 6.80 6.67 0.71
1652726737295138 0.00 0.00 0.00 0.00 1.91 4.61 0.53 1.10 5.91 14.30 5.92 1.44
1652726737311295 0.00 0.00 0.00 0.00 1.91 4.61 0.63 1.33 5.94 14.36 5.94 6.29
1652726737327662 0.00 0.00 0.00 0.00 1.91 3.41 0.72 1.50 5.96 10.67 5.96 5.61
1652726737344382 0.00 0.00 0.00 0.00 1.01 4.61 0.77 1.73 3.12 14.28 5.36 12.08
1652726737360020 0.00 0.00 0.00 0.00 1.91 3.41 0.87 1.91 5.77 10.33 5.34 12.79
1652726737376500 0.00 0.00 0.00 0.00 1.91 4.61 0.96 2.14 6.16 14.89 5.39 12.91
1652726737392822 0.00 0.00 0.00 0.00 1.91 4.61 1.06 2.37 5.86 14.17 5.38 12.87
1652726737409186 0.00 0.00 0.00 0.00 1.91 5.80 1.15 2.66 5.90 17.97 5.36 14.33
1652726737425284 0.00 0.00 0.00 0.00 3.10 5.80 1.31 2.95 9.58 17.92 6.66 15.06
1652726737441823 0.00 0.00 0.00 0.00 1.01 4.61 1.36 3.18 3.17 14.47 6.13 15.89
1652726737458037 0.00 0.00 0.00 0.00 1.01 5.80 1.41 3.47 3.09 17.79 5.52 16.47
1652726737473988 0.00 0.00 0.00 0.00 -0.19 5.80 1.47 3.59 3.74 7.47 5.09 15.12
1652726737490057 0.00 0.00 0.00 0.00 1.01 4.61 1.47 3.59 0.00 0.00 3.91 11.53
1652726737506068 0.00 0.00 0.00 0.00 1.91 3.41 1.64 3.53 10.37 -3.77 4.07 7.19
1652726737522505 0.00 0.00 0.00 0.00 1.91 4.61 1.74 3.59 6.62 3.78 4.76 5.05
1652726737538810 0.00 0.00 0.00 0.00 3.10 4.61 1.74 3.65 0.00 3.70 4.15 2.24
1652726737555083 0.00 0.00 0.00 0.00 1.91 4.61 1.74 4.04 0.01 24.17 3.40 5.58
1652726737571394 0.00 0.00 0.00 0.00 3.10 4.61 1.80 4.04 3.72 0.00 4.14 5.58
1652726737587794 0.00 0.00 0.00 0.00 1.01 3.41 1.76 4.49 -2.77 27.93 1.52 11.92
1652726737604280 0.00 0.00 0.00 0.00 3.10 4.61 1.82 4.61 3.70 7.39 0.93 12.64
1652726737620482 0.00 0.00 0.00 0.00 3.10 4.61 1.88 4.61 3.67 0.00 1.67 11.90
1652726737636834 0.00 0.00 0.00 0.00 3.10 5.80 1.94 4.67 3.74 3.74 2.41 7.81
1652726737652414 0.00 0.00 0.00 0.00 4.30 4.61 2.05 4.73 7.40 3.70 3.15 8.55
1652726737668842 0.00 0.00 0.00 0.00 4.30 4.61 2.22 4.73 10.71 0.00 5.84 2.97
1652726737685218 0.00 0.00 0.00 0.00 5.50 4.61 2.40 4.79 11.06 3.69 7.32 2.23
1652726737701498 0.00 0.00 0.00 0.00 5.50 3.41 2.58 4.73 11.15 -3.72 8.81 1.48
1652726737717875 0.00 0.00 0.00 0.00 3.10 4.61 2.64 4.73 3.72 0.00 8.81 0.74
1652726737734106 0.00 0.00 0.00 0.00 3.10 3.41 2.70 4.61 3.69 -7.39 8.07 -1.48
1652726737750511 0.00 0.00 0.00 0.00 1.91 3.41 2.64 4.49 -3.73 -7.46 5.18 -2.98
1652726737766551 0.00 0.00 0.00 0.00 4.30 3.41 2.80 4.43 10.16 -3.69 5.00 -4.45
1652726737782997 0.00 0.00 0.00 0.00 5.50 2.21 3.03 4.25 14.15 -11.32 5.60 -5.97
1652726737799503 0.00 0.00 0.00 0.00 1.91 3.41 3.13 4.13 6.44 -7.36 6.14 -7.45
1652726737815244 0.00 0.00 0.00 0.00 4.30 3.41 3.30 4.07 10.09 -3.67 7.42 -6.70
1652726737831782 0.00 0.00 0.00 0.00 5.50 3.41 3.48 4.07 11.55 0.00 10.48 -5.21
1652726737848118 0.00 0.00 0.00 0.00 4.30 3.41 3.60 4.01 7.32 -3.66 9.91 -5.20
1652726737864377 0.00 0.00 0.00 0.00 3.10 4.61 3.60 4.01 0.00 0.00 7.08 -2.94
1652726737880854 0.00 0.00 0.00 0.00 3.10 4.61 3.66 4.01 3.73 0.00 6.54 -1.47
1652726737896273 0.00 0.00 0.00 0.00 3.10 3.41 3.66 3.95 -0.00 -3.69 4.52 -1.47
1652726737912623 0.00 0.00 0.00 0.00 3.10 4.61 3.76 4.01 6.88 3.93 3.59 -0.68
