#Task Selector: 6
#PID Parameters: kp: 0.04, kd: 0.04, ki: 0.04
#n_pos: 20
#n_vel: 5
t x_ref y_ref vx_ref vy_ref x_raw y_raw x y vx_raw vy_raw vx vy
1652728302066021 0.00 0.00 0.00 0.00 -9.20 9.10 -0.46 0.45 -28748.67 28437.29 -5749.73 5687.46
1652728302082423 0.00 0.00 0.00 0.00 -10.41 9.10 -0.98 0.91 -29.18 25.52 -5755.57 5692.56
1652728302097887 0.00 0.00 0.00 0.00 -11.62 9.10 -1.56 1.37 -35.87 28.11 -5762.75 5698.18
1652728302114297 0.00 0.00 0.00 0.00 -13.74 9.10 -2.25 1.82 -44.95 29.80 -5771.74 5704.14
1652728302130472 0.00 0.00 0.00 0.00 -13.74 7.90 -2.93 2.22 -42.38 24.38 -5780.21 5709.02
1652728302147226 0.00 0.00 0.00 0.00 -17.08 7.90 -3.79 2.61 -53.43 24.72 -41.16 26.51
1652728302163565 0.00 0.00 0.00 0.00 -17.08 7.90 -4.64 3.01 -51.53 23.84 -45.63 26.17
1652728302179609 0.00 0.00 0.00 0.00 -18.30 6.70 -5.56 3.34 -56.66 20.74 -49.79 24.70
1652728302195479 0.00 0.00 0.00 0.00 -20.45 6.70 -6.58 3.68 -64.46 21.12 -53.69 22.96
1652728302212400 0.00 0.00 0.00 0.00 -19.53 5.79 -7.56 3.97 -62.25 18.47 -57.67 21.78
1652728302228801 0.00 0.00 0.00 0.00 -21.68 5.79 -8.64 4.25 -64.78 17.31 -59.94 20.29
1652728302244232 0.00 0.00 0.00 0.00 -22.91 4.58 -9.79 4.48 -70.64 14.12 -63.76 18.35
1652728302260986 0.00 0.00 0.00 0.00 -22.92 3.37 -10.93 4.65 -75.15 11.05 -67.46 16.41
1652728302276913 0.00 0.00 0.00 0.00 -22.92 3.37 -12.08 4.82 -69.14 10.17 -68.39 14.22
1652728302293313 0.00 0.00 0.00 0.00 -24.16 1.25 -13.29 4.88 -76.83 3.96 -71.31 11.32
1652728302309607 0.00 0.00 0.00 0.00 -22.93 0.04 -14.43 4.89 -71.30 0.13 -72.61 7.89
1652728302325647 0.00 0.00 0.00 0.00 -24.17 -1.18 -15.64 4.83 -74.99 -3.66 -73.48 4.33
1652728302341814 0.00 0.00 0.00 0.00 -26.36 -2.41 -16.96 4.71 -83.12 -7.60 -75.08 0.60
1652728302358138 0.00 0.00 0.00 0.00 -25.12 -3.31 -18.21 4.54 -78.58 -10.37 -76.96 -3.51
1652728302374725 0.00 0.00 0.00 0.00 -26.39 -5.76 -19.53 4.25 -82.08 -17.93 -78.02 -7.89
