#Task Selector: 5
#PID Parameters: kp: 0.04, kd: 0.04, ki: 0.03
#n_pos: 20
#n_vel: 5
t x_ref y_ref vx_ref vy_ref x_raw y_raw x y vx_raw vy_raw vx vy
1652724025857624 0.00 0.00 0.00 0.00 79.71 -0.38 3.99 -0.02 249086.42 -1182.15 49817.28 -236.43
1652724025874002 0.00 0.00 0.00 0.00 79.69 0.91 7.97 0.03 229.28 2.61 49863.14 -235.91
1652724025890341 0.00 0.00 0.00 0.00 79.69 0.91 11.95 0.07 246.41 2.80 49912.42 -235.35
1652724025906568 0.00 0.00 0.00 0.00 82.61 -0.41 16.09 0.05 255.79 -1.27 49963.58 -235.60
1652724025922569 0.00 0.00 0.00 0.00 84.07 -0.43 20.29 0.03 262.06 -1.33 50015.99 -235.87
1652724025938484 0.00 0.00 0.00 0.00 84.11 -3.01 24.49 -0.12 265.95 -9.53 251.90 -1.34
1652724025955184 0.00 0.00 0.00 0.00 86.69 -3.05 28.83 -0.27 275.62 -9.70 261.17 -3.81
1652724025971155 0.00 0.00 0.00 0.00 85.21 -3.03 33.09 -0.42 258.06 -9.18 263.50 -6.20
1652724025987289 0.00 0.00 0.00 0.00 82.65 -2.99 37.22 -0.57 262.04 -9.49 264.75 -7.85
1652724026003180 0.00 0.00 0.00 0.00 79.74 -2.95 41.21 -0.72 249.97 -9.25 262.33 -9.43
1652724026019542 0.00 0.00 0.00 0.00 75.82 -3.85 45.00 -0.91 241.70 -12.28 257.48 -9.98
1652724026035355 0.00 0.00 0.00 0.00 74.42 -5.11 48.72 -1.17 230.27 -15.81 248.41 -11.20
1652724026051387 0.00 0.00 0.00 0.00 73.40 -7.33 52.39 -1.54 235.84 -23.54 243.96 -14.07
1652724026067778 0.00 0.00 0.00 0.00 72.02 -8.58 55.99 -1.97 227.37 -27.07 237.03 -17.59
1652724026084101 0.00 0.00 0.00 0.00 72.02 -8.58 59.59 -2.39 222.61 -26.50 231.56 -21.04
1652724026100123 0.00 0.00 0.00 0.00 72.06 -9.85 63.20 -2.89 223.84 -30.61 227.99 -24.71
1652724026117011 0.00 0.00 0.00 0.00 69.64 -11.07 66.68 -3.44 219.86 -34.96 225.91 -28.54
1652724026133415 0.00 0.00 0.00 0.00 69.66 -12.03 70.16 -4.04 208.49 -36.01 220.44 -31.03
1652724026149211 0.00 0.00 0.00 0.00 66.89 -11.96 73.51 -4.64 206.44 -36.92 216.25 -33.00
1652724026165437 0.00 0.00 0.00 0.00 65.54 -13.20 76.78 -5.30 210.12 -42.31 213.75 -36.16
1652724026181397 0.00 0.00 0.00 0.00 64.55 -14.45 76.02 -6.00 -47.25 -43.85 159.53 -38.81
1652724026197849 0.00 0.00 0.00 0.00 61.86 -15.64 75.13 -6.83 -56.56 -52.48 104.25 -42.31
1652724026214062 0.00 0.00 0.00 0.00 59.52 -16.52 74.12 -7.70 -61.98 -53.55 50.15 -45.82
1652724026230488 0.00 0.00 0.00 0.00 58.25 -19.03 72.91 -8.63 -76.18 -58.24 -6.37 -50.09
1652724026246681 0.00 0.00 0.00 0.00 54.62 -20.18 71.43 -9.62 -90.67 -60.83 -66.53 -53.79
1652724026262692 0.00 0.00 0.00 0.00 52.05 -22.33 69.83 -10.59 -100.12 -60.30 -77.10 -57.08
1652724026278867 0.00 0.00 0.00 0.00 48.52 -24.76 67.92 -11.67 -120.63 -68.60 -89.92 -60.30
1652724026295228 0.00 0.00 0.00 0.00 44.97 -25.59 65.91 -12.80 -126.30 -70.82 -102.78 -63.76
1652724026312075 0.00 0.00 0.00 0.00 42.48 -28.06 63.90 -14.05 -124.99 -78.01 -112.54 -67.71
1652724026327781 0.00 0.00 0.00 0.00 38.95 -27.95 61.86 -15.30 -122.43 -75.03 -118.89 -70.55
1652724026344340 0.00 0.00 0.00 0.00 35.49 -29.12 59.85 -16.57 -130.63 -81.86 -124.99 -74.86
1652724026360421 0.00 0.00 0.00 0.00 32.04 -29.98 57.73 -17.81 -129.69 -76.13 -126.80 -76.37
1652724026377040 0.00 0.00 0.00 0.00 29.57 -31.19 55.54 -19.00 -138.27 -75.28 -129.20 -77.26
1652724026393513 0.00 0.00 0.00 0.00 23.67 -32.34 53.12 -20.19 -147.41 -72.44 -133.68 -76.15
1652724026409241 0.00 0.00 0.00 0.00 23.67 -32.34 50.70 -21.38 -148.54 -72.99 -138.91 -75.74
1652724026426268 0.00 0.00 0.00 0.00 20.30 -34.52 48.11 -22.61 -166.70 -79.44 -146.12 -75.26
1652724026442456 0.00 0.00 0.00 0.00 16.92 -35.75 45.48 -23.85 -157.18 -73.57 -151.62 -74.74
1652724026458722 0.00 0.00 0.00 0.00 15.68 -35.73 42.78 -25.03 -170.67 -74.93 -158.10 -74.67
1652724026474619 0.00 0.00 0.00 0.00 13.52 -35.71 40.11 -26.22 -168.63 -75.04 -162.34 -75.19
1652724026490535 0.00 0.00 0.00 0.00 11.07 -36.98 37.39 -27.41 -173.83 -75.87 -167.40 -75.77
1652724026507427 0.00 0.00 0.00 0.00 8.92 -37.93 34.60 -28.58 -177.15 -74.79 -169.49 -74.84
1652724026523353 0.00 0.00 0.00 0.00 7.69 -36.95 31.90 -29.65 -162.31 -63.86 -170.52 -72.90
1652724026539654 0.00 0.00 0.00 0.00 5.54 -37.92 29.20 -30.72 -172.95 -68.54 -170.97 -71.62
1652724026555792 0.00 0.00 0.00 0.00 3.08 -37.92 26.44 -31.66 -172.30 -58.98 -171.71 -68.41
1652724026572432 0.00 0.00 0.00 0.00 3.08 -37.92 23.86 -32.55 -161.92 -55.71 -169.33 -64.38
1652724026588811 0.00 0.00 0.00 0.00 0.92 -37.92 21.30 -33.33 -157.68 -48.10 -165.43 -59.04
1652724026605019 0.00 0.00 0.00 0.00 -0.31 -37.93 18.86 -33.99 -152.62 -41.17 -163.49 -54.50
1652724026621074 0.00 0.00 0.00 0.00 -1.54 -37.94 16.54 -34.60 -145.55 -38.62 -158.02 -48.51
1652724026637605 0.00 0.00 0.00 0.00 -1.54 -37.94 14.34 -35.10 -139.88 -31.37 -151.53 -42.99
1652724026653892 0.00 0.00 0.00 0.00 -2.77 -37.94 12.25 -35.60 -128.81 -30.86 -144.91 -38.02
1652724026669810 0.00 0.00 0.00 0.00 -2.77 -37.94 10.34 -36.04 -120.42 -27.77 -137.46 -33.96
1652724026686069 0.00 0.00 0.00 0.00 -2.77 -37.94 8.60 -36.44 -112.15 -25.65 -129.36 -30.85
1652724026702768 0.00 0.00 0.00 0.00 -2.77 -37.94 6.98 -36.77 -100.95 -21.07 -120.44 -27.34
1652724026718931 0.00 0.00 0.00 0.00 -2.77 -36.97 5.66 -37.01 -80.92 -14.19 -108.65 -23.91
1652724026734680 0.00 0.00 0.00 0.00 -2.77 -36.97 4.34 -37.24 -83.43 -14.63 -99.58 -20.66
1652724026750997 0.00 0.00 0.00 0.00 -1.53 -36.96 3.24 -37.36 -70.77 -7.93 -89.65 -16.69
1652724026767653 0.00 0.00 0.00 0.00 -0.30 -35.67 2.38 -37.36 -53.86 0.27 -77.99 -11.51
1652724026783494 0.00 0.00 0.00 0.00 0.93 -36.95 1.65 -37.42 -45.45 -3.75 -66.89 -8.05
1652724026799903 0.00 0.00 0.00 0.00 0.93 -35.66 1.02 -37.41 -40.47 0.15 -58.80 -5.18
1652724026816029 0.00 0.00 0.00 0.00 3.08 -35.66 0.62 -37.35 -24.88 4.11 -47.09 -1.43
1652724026832697 0.00 0.00 0.00 0.00 3.08 -34.37 0.32 -37.17 -18.45 11.25 -36.62 2.40
1652724026848969 0.00 0.00 0.00 0.00 3.08 -34.37 0.09 -37.04 -14.18 7.95 -28.69 3.94
1652724026864277 0.00 0.00 0.00 0.00 6.45 -33.41 0.14 -36.82 2.87 14.21 -19.02 7.53
1652724026880985 0.00 0.00 0.00 0.00 6.45 -33.41 0.31 -36.59 11.26 15.04 -8.68 10.51
1652724026897586 0.00 0.00 0.00 0.00 10.13 -33.43 0.66 -36.37 21.34 13.59 0.57 12.41
1652724026914174 0.00 0.00 0.00 0.00 10.12 -32.15 1.12 -36.08 28.03 17.59 9.86 13.68
1652724026929448 0.00 0.00 0.00 0.00 12.25 -30.90 1.75 -35.73 38.38 21.49 20.38 16.38
1652724026946459 0.00 0.00 0.00 0.00 13.48 -30.91 2.50 -35.38 50.49 23.63 29.90 18.27
1652724026962653 0.00 0.00 0.00 0.00 13.48 -30.91 3.25 -35.02 44.66 20.90 36.58 19.44
1652724026978732 0.00 0.00 0.00 0.00 15.61 -29.66 4.17 -34.61 58.63 26.42 44.04 22.01
1652724026994856 0.00 0.00 0.00 0.00 18.05 -28.74 5.21 -34.15 66.08 29.20 51.65 24.33
1652724027009774 0.00 0.00 0.00 0.00 18.05 -28.74 6.25 -33.69 66.45 29.36 57.26 25.90
1652724027026430 0.00 0.00 0.00 0.00 20.19 -27.51 7.40 -33.17 78.14 35.51 62.79 28.28
1652724027043082 0.00 0.00 0.00 0.00 21.44 -28.79 8.61 -32.76 73.84 24.95 68.63 29.09
1652724027059019 0.00 0.00 0.00 0.00 22.65 -27.55 9.88 -32.29 77.86 28.86 72.48 29.58
1652724027075151 0.00 0.00 0.00 0.00 23.56 -26.31 11.13 -31.75 80.48 34.19 75.36 30.58
1652724027091396 0.00 0.00 0.00 0.00 26.03 -26.35 12.45 -31.29 82.72 29.26 78.61 30.56
1652724027108168 0.00 0.00 0.00 0.00 27.27 -26.38 13.77 -30.76 82.15 32.97 79.41 30.05
1652724027124394 0.00 0.00 0.00 0.00 28.18 -25.14 15.13 -30.23 82.85 32.00 81.21 31.46
1652724027139904 0.00 0.00 0.00 0.00 30.67 -25.19 16.51 -29.71 87.23 33.08 83.08 32.30
1652724027156476 0.00 0.00 0.00 0.00 30.67 -25.19 17.89 -29.25 90.27 30.03 85.04 31.47
1652724027173173 0.00 0.00 0.00 0.00 30.67 -25.19 19.27 -28.79 84.93 28.25 85.48 31.26
1652724027189146 0.00 0.00 0.00 0.00 31.90 -24.28 20.54 -28.34 77.75 27.91 84.60 30.25
1652724027205313 0.00 0.00 0.00 0.00 32.87 -25.24 21.86 -27.93 84.30 26.07 84.89 29.07
1652724027221543 0.00 0.00 0.00 0.00 32.87 -25.24 23.00 -27.52 71.71 25.81 81.79 27.61
