#Task Selector: 5
#PID Parameters: kp: 0.07, kd: 0.03, ki: 0.03
#n_pos: 20
#n_vel: 5
t x_ref y_ref vx_ref vy_ref x_raw y_raw x y vx_raw vy_raw vx vy
1652719529126315 0.00 0.00 0.00 0.00 38.39 11.26 1.92 0.56 119980.11 35191.12 23996.02 7038.22
1652719529143004 0.00 0.00 0.00 0.00 38.40 12.48 3.84 1.19 110.01 35.75 24018.03 7045.37
1652719529158756 0.00 0.00 0.00 0.00 34.96 12.46 5.59 1.81 107.02 38.16 24039.43 7053.01
1652719529175367 0.00 0.00 0.00 0.00 31.55 13.66 7.16 2.49 102.14 44.23 24059.86 7061.85
1652719529191234 0.00 0.00 0.00 0.00 27.84 12.43 8.56 3.11 85.43 38.15 24076.94 7069.48
1652719529207774 0.00 0.00 0.00 0.00 25.70 12.43 9.84 3.74 82.49 39.88 97.42 39.23
1652719529224043 0.00 0.00 0.00 0.00 25.70 12.43 11.13 4.36 79.16 38.27 91.25 39.74
1652719529240233 0.00 0.00 0.00 0.00 25.70 10.31 12.41 4.87 80.42 32.28 85.93 38.56
1652719529256568 0.00 0.00 0.00 0.00 25.70 11.22 13.70 5.43 80.75 35.25 81.65 36.77
1652719529272783 0.00 0.00 0.00 0.00 31.54 11.24 15.27 6.00 98.67 35.15 84.30 36.17
1652719529289070 0.00 0.00 0.00 0.00 26.92 10.32 16.62 6.51 84.01 32.20 84.60 34.63
1652719529305087 0.00 0.00 0.00 0.00 31.53 10.33 18.20 7.03 98.45 32.25 88.46 33.43
1652719529321400 0.00 0.00 0.00 0.00 31.53 10.33 19.77 7.54 100.17 32.81 92.41 33.53
1652719529337518 0.00 0.00 0.00 0.00 27.84 9.11 21.16 8.00 86.67 28.37 93.59 32.16
1652719529354223 0.00 0.00 0.00 0.00 26.91 7.90 22.51 8.40 84.79 24.90 90.82 30.10
1652719529370175 0.00 0.00 0.00 0.00 29.06 9.11 23.96 8.85 88.13 27.64 91.64 29.19
1652719529386331 0.00 0.00 0.00 0.00 31.53 7.91 25.54 9.25 100.12 25.11 91.97 27.77
1652719529402575 0.00 0.00 0.00 0.00 32.46 9.12 27.16 9.70 102.15 28.70 92.37 26.94
1652719529418753 0.00 0.00 0.00 0.00 32.46 7.91 28.79 10.10 101.22 24.66 95.28 26.20
1652719529434897 0.00 0.00 0.00 0.00 31.53 7.91 30.36 10.49 98.97 24.82 98.12 26.19
1652719529450795 0.00 0.00 0.00 0.00 32.46 7.91 30.07 10.33 -18.67 -10.54 76.76 18.55
