#Task Selector: 5
#PID Parameters: kp: 0.04, kd: 0.06, ki: 0.01
#n_pos: 20
#n_vel: 5
t x_ref y_ref vx_ref vy_ref x_raw y_raw x y vx_raw vy_raw vx vy
1652729132235979 0.00 0.00 0.00 0.00 -0.19 4.61 -0.01 0.23 -594.23 14392.58 -118.85 2878.52
1652729132251701 0.00 0.00 0.00 0.00 -1.39 3.41 -0.08 0.40 -3.94 9.68 -119.63 2880.45
1652729132268138 0.00 0.00 0.00 0.00 -1.39 4.61 -0.15 0.63 -4.48 14.86 -120.53 2883.43
1652729132284341 0.00 0.00 0.00 0.00 -1.39 4.61 -0.22 0.86 -4.27 14.16 -121.38 2886.26
1652729132300784 0.00 0.00 0.00 0.00 -1.39 4.61 -0.29 1.09 -4.33 14.37 -122.25 2889.13
1652729132317028 0.00 0.00 0.00 0.00 1.01 3.41 -0.24 1.26 3.10 10.48 -2.79 12.71
1652729132333220 0.00 0.00 0.00 0.00 1.90 2.21 -0.14 1.37 5.95 6.91 -0.81 12.16
1652729132349598 0.00 0.00 0.00 0.00 1.01 2.21 -0.09 1.48 3.14 6.90 0.72 10.56
1652729132365833 0.00 0.00 0.00 0.00 3.10 1.31 0.06 1.55 9.58 4.05 3.49 8.54
1652729132382187 0.00 0.00 0.00 0.00 1.90 0.11 0.16 1.55 5.93 0.35 5.54 5.74
1652729132398398 0.00 0.00 0.00 0.00 5.50 0.11 0.43 1.56 17.00 0.35 8.32 3.71
1652729132414779 0.00 0.00 0.00 0.00 5.50 -2.29 0.71 1.45 17.15 -7.14 10.56 0.90
1652729132431063 0.00 0.00 0.00 0.00 6.40 -2.29 1.03 1.33 19.75 -7.06 13.88 -1.89
1652729132447351 0.00 0.00 0.00 0.00 6.40 -4.39 1.35 1.11 19.87 -13.64 15.94 -5.43
1652729132463469 0.00 0.00 0.00 0.00 10.00 -5.60 1.85 0.83 31.05 -17.39 20.96 -8.98
1652729132479903 0.00 0.00 0.00 0.00 10.90 -5.60 2.39 0.55 34.21 -17.59 24.41 -12.56
1652729132495748 0.00 0.00 0.00 0.00 13.32 -8.94 3.06 0.10 40.99 -27.50 29.17 -16.64
1652729132512150 0.00 0.00 0.00 0.00 13.33 -10.15 3.73 -0.40 42.75 -32.56 33.78 -21.74
1652729132528132 0.00 0.00 0.00 0.00 14.24 -12.28 4.44 -1.02 43.98 -37.93 38.60 -26.59
1652729132544316 0.00 0.00 0.00 0.00 15.45 -12.29 5.21 -1.63 48.92 -38.90 42.17 -30.90
1652729132560597 0.00 0.00 0.00 0.00 17.90 -14.75 6.12 -2.60 56.54 -60.52 46.64 -39.48
1652729132577395 0.00 0.00 0.00 0.00 18.82 -15.68 7.13 -3.55 62.82 -59.34 51.00 -45.85
1652729132593795 0.00 0.00 0.00 0.00 18.83 -16.91 8.14 -4.63 60.81 -64.71 54.61 -52.28
1652729132609181 0.00 0.00 0.00 0.00 20.06 -18.16 9.21 -5.77 66.13 -70.17 59.05 -58.73
1652729132625814 0.00 0.00 0.00 0.00 22.54 -20.35 10.41 -7.02 78.70 -82.09 65.00 -67.37
1652729132642086 0.00 0.00 0.00 0.00 22.56 -21.60 11.48 -8.27 65.49 -75.99 66.79 -70.46
1652729132658258 0.00 0.00 0.00 0.00 23.50 -22.86 12.56 -9.52 67.08 -77.87 67.64 -74.17
1652729132674594 0.00 0.00 0.00 0.00 23.50 -22.86 13.69 -10.77 70.33 -78.38 69.55 -76.90
1652729132690788 0.00 0.00 0.00 0.00 24.75 -24.13 14.77 -12.04 67.21 -78.98 69.76 -78.66
1652729132706911 0.00 0.00 0.00 0.00 26.01 -25.09 15.98 -13.31 75.40 -78.85 69.10 -78.01
1652729132723784 0.00 0.00 0.00 0.00 26.01 -25.09 17.00 -14.57 64.34 -79.08 68.87 -78.63
1652729132739626 0.00 0.00 0.00 0.00 26.03 -26.35 18.03 -15.77 61.51 -72.09 67.76 -77.48
1652729132756033 0.00 0.00 0.00 0.00 26.03 -26.35 19.01 -16.97 62.74 -76.89 66.24 -77.18
