#Task Selector: 5
#PID Parameters: kp: 0.03, kd: 0.05, ki: 0.33
#n_pos: 20
#n_vel: 5
t x_ref y_ref vx_ref vy_ref x_raw y_raw x y vx_raw vy_raw vx vy
1652725686868517 0.00 0.00 0.00 0.00 -7.09 11.20 -0.35 0.56 -22166.87 34992.19 -4433.37 6998.44
1652725686884298 0.00 0.00 0.00 0.00 -9.20 10.30 -0.81 1.07 -26.79 29.99 -4438.73 7004.44
1652725686902051 0.00 0.00 0.00 0.00 -9.20 11.20 -1.27 1.63 -29.78 36.24 -4444.69 7011.68
1652725686917348 0.00 0.00 0.00 0.00 -7.09 10.30 -1.63 2.15 -20.52 29.80 -4448.79 7017.64
1652725686933166 0.00 0.00 0.00 0.00 -8.00 10.30 -2.03 2.66 -26.73 34.43 -4454.14 7024.53
1652725686949567 0.00 0.00 0.00 0.00 -9.20 9.10 -2.49 3.12 -29.52 29.20 -26.67 31.93
1652725686966124 0.00 0.00 0.00 0.00 -8.00 10.30 -2.89 3.63 -25.84 33.29 -26.48 32.59
1652725686982244 0.00 0.00 0.00 0.00 -8.00 10.30 -3.29 4.15 -24.55 31.62 -25.43 31.67
1652725686998419 0.00 0.00 0.00 0.00 -10.41 10.30 -3.81 4.66 -32.66 32.33 -27.86 32.17
1652725687013702 0.00 0.00 0.00 0.00 -11.62 10.30 -4.39 5.18 -37.23 33.02 -29.96 31.89
1652725687030144 0.00 0.00 0.00 0.00 -11.62 9.10 -4.97 5.63 -39.37 30.85 -31.93 32.22
1652725687046358 0.00 0.00 0.00 0.00 -12.52 9.10 -5.60 6.09 -39.40 28.64 -34.64 31.29
1652725687062931 0.00 0.00 0.00 0.00 -10.41 7.90 -6.12 6.49 -32.53 24.70 -36.24 29.91
1652725687080727 0.00 0.00 0.00 0.00 -10.41 7.90 -6.64 6.88 -33.08 25.11 -36.32 28.46
1652725687094661 0.00 0.00 0.00 0.00 -9.20 6.70 -7.10 7.22 -26.80 19.52 -34.24 25.76
1652725687111836 0.00 0.00 0.00 0.00 -7.09 6.70 -7.45 7.55 -27.10 25.61 -31.78 24.72
1652725687127943 0.00 0.00 0.00 0.00 -5.89 6.70 -7.75 7.89 -17.39 19.79 -27.38 22.95
1652725687143360 0.00 0.00 0.00 0.00 -5.89 5.80 -8.04 8.18 -19.03 18.75 -24.68 21.76
1652725687159878 0.00 0.00 0.00 0.00 -7.09 4.60 -8.40 8.41 -23.74 15.40 -22.81 19.81
1652725687176482 0.00 0.00 0.00 0.00 -5.89 5.80 -8.69 8.70 -18.09 17.83 -21.07 19.48
1652725687192913 0.00 0.00 0.00 0.00 -3.49 5.80 -8.51 8.43 11.01 -16.47 -13.45 11.06
1652725687208954 0.00 0.00 0.00 0.00 -1.39 4.61 -8.12 8.14 24.32 -17.72 -5.11 3.56
1652725687224762 0.00 0.00 0.00 0.00 1.01 2.21 -7.61 7.69 32.43 -28.56 5.19 -5.90
1652725687241320 0.00 0.00 0.00 0.00 1.01 2.21 -7.20 7.29 26.18 -26.15 15.17 -14.21
1652725687309134 0.00 0.00 0.00 0.00 1.91 4.61 -6.71 7.00 30.45 -17.51 24.88 -21.28
1652725687321666 0.00 0.00 0.00 0.00 1.01 4.61 -6.20 6.78 41.73 -18.37 31.02 -21.66
1652725687334391 0.00 0.00 0.00 0.00 -1.39 4.61 -5.87 6.49 26.86 -23.14 31.53 -22.75
1652725687346852 0.00 0.00 0.00 0.00 -0.19 4.61 -5.48 6.21 31.27 -22.81 31.30 -21.60
1652725687359364 0.00 0.00 0.00 0.00 1.01 5.80 -4.91 5.98 46.64 -18.38 35.39 -20.04
1652725687371844 0.00 0.00 0.00 0.00 -0.19 5.80 -4.34 5.76 46.55 -18.33 38.61 -20.21
1652725687387813 0.00 0.00 0.00 0.00 1.91 4.61 -3.66 5.53 54.98 -18.28 41.26 -20.19
1652725687404126 0.00 0.00 0.00 0.00 -1.39 6.70 -3.10 5.41 35.42 -7.64 42.97 -17.09
1652725687419684 0.00 0.00 0.00 0.00 1.01 6.70 -2.53 5.35 35.46 -3.73 43.81 -13.27
1652725687435984 0.00 0.00 0.00 0.00 -1.39 6.70 -2.08 5.29 29.40 -3.91 40.36 -10.38
1652725687452323 0.00 0.00 0.00 0.00 -0.19 6.70 -1.63 5.29 28.02 0.00 36.66 -6.71
1652725687468620 0.00 0.00 0.00 0.00 -1.39 6.70 -1.35 5.29 17.69 0.00 29.20 -3.06
1652725687485028 0.00 0.00 0.00 0.00 -1.39 6.70 -1.12 5.29 14.00 0.00 24.91 -1.53
1652725687501269 0.00 0.00 0.00 0.00 -2.59 6.70 -0.96 5.34 10.19 2.78 19.86 -0.23
1652725687517623 0.00 0.00 0.00 0.00 -3.49 7.90 -0.77 5.50 11.25 10.29 16.23 2.61
1652725687534051 0.00 0.00 0.00 0.00 -5.89 7.90 -0.77 5.61 0.00 6.48 10.63 3.91
1652725687549740 0.00 0.00 0.00 0.00 -5.89 7.90 -0.89 5.71 -7.41 6.47 5.61 5.20
